Date,NVDA,TSLA,AMD,ROKU
2023-04-18,27.66699981689453,184.30999755859375,89.77999877929688,64.83999633789062
2023-04-19,27.930999755859375,180.58999633789062,89.94000244140625,61.7400016784668
2023-04-20,27.104000091552734,162.99000549316406,90.11000061035156,58.91999816894531
2023-04-21,27.118999481201172,165.0800018310547,88.43000030517578,58.04999923706055
2023-04-24,27.04199981689453,162.5500030517578,87.56999969482422,59.060001373291016
2023-04-25,26.240999221801758,160.6699981689453,83.80000305175781,57.720001220703125
2023-04-26,26.95599937438965,153.75,85.94000244140625,56.560001373291016
2023-04-27,27.22599983215332,160.19000244140625,87.44000244140625,57.0099983215332
2023-04-28,27.749000549316406,164.30999755859375,89.37000274658203,56.209999084472656
2023-05-01,28.90999984741211,161.8300018310547,89.69000244140625,56.68000030517578
