Date,XLE,XOP,VDE,OIH
2023-04-18,86.54000091552734,131.55999755859375,118.9000015258789,286.7699890136719
2023-04-19,86.23999786376953,130.0800018310547,118.45999908447266,287.2099914550781
2023-04-20,85.4800033569336,128.02000427246094,117.31999969482422,282.82000732421875
2023-04-21,84.9800033569336,126.91000366210938,116.62000274658203,277.82000732421875
2023-04-24,86.27999877929688,129.24000549316406,118.4800033569336,286.17999267578125
2023-04-25,84.66000366210938,125.0199966430664,115.9800033569336,274.4599914550781
2023-04-26,83.52999877929688,122.83999633789062,114.45999908447266,268.79998779296875
2023-04-27,83.83000183105469,123.79000091552734,115.06999969482422,268.0799865722656
2023-04-28,85.12999725341797,127.11000061035156,116.94000244140625,274.1300048828125
2023-05-01,84.16999816894531,126.22000122070312,115.62999725341797,273.2900085449219
