Date,SPY,VOO,IVV,DIA
2023-04-19,414.1400146484375,380.5199890136719,415.989990234375,338.989990234375
2023-04-20,411.8800048828125,378.3699951171875,413.6600036621094,337.95001220703125
2023-04-21,412.20001220703125,378.5899963378906,413.8900146484375,338.1099853515625
2023-04-24,412.6300048828125,379.0899963378906,414.4100036621094,338.75
2023-04-25,406.0799865722656,373.1000061035156,407.8299865722656,335.3299865722656
2023-04-26,404.3599853515625,371.44000244140625,406.1700134277344,332.95001220703125
2023-04-27,412.4100036621094,378.80999755859375,414.2300109863281,338.20001220703125
2023-04-28,415.92999267578125,382.04998779296875,417.6600036621094,341.0299987792969
2023-05-01,415.510009765625,381.7900085449219,417.3599853515625,340.3599853515625
2023-05-02,410.8399963378906,377.510009765625,412.69000244140625,336.8699951171875
